Date, IP Address, User-Agent, Number Saved 
2019-05-09 07:16:10,192.168.10.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML like Gecko) Chrome/74.0.3729.131 Safari/537.36,20051556176
2019-05-09 07:16:41,192.168.10.1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:66.0) Gecko/20100101 Firefox/66.0,1185
